Name,Link
gwbush,http://millercenter.org/president/gwbush/speeches/speech-3986
gwbush,http://millercenter.org/president/gwbush/speeches/speech-3986
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-stem-cell-research
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-stem-cell-research
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-stem-cell-research
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-stem-cell-research
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-terrorist-attacks
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-terrorist-attacks
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-terrorist-attacks
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-terrorist-attacks
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-u.s.-response-to-the-attacks-of-september-11
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-u.s.-response-to-the-attacks-of-september-11
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-u.s.-response-to-the-attacks-of-september-11
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-u.s.-response-to-the-attacks-of-september-11
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-no-child-left-behind-bill
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-no-child-left-behind-bill
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-no-child-left-behind-bill
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-no-child-left-behind-bill
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4540
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4540
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4540
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4540
gwbush,http://millercenter.org/president/gwbush/speeches/graduation-speech-at-west-point
gwbush,http://millercenter.org/president/gwbush/speeches/graduation-speech-at-west-point
gwbush,http://millercenter.org/president/gwbush/speeches/graduation-speech-at-west-point
gwbush,http://millercenter.org/president/gwbush/speeches/graduation-speech-at-west-point
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-department-of-homeland-security
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-department-of-homeland-security
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-department-of-homeland-security
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-the-department-of-homeland-security
gwbush,http://millercenter.org/president/gwbush/speeches/speech-on-new-mother-and-child-hiv-prevention-initiative
gwbush,http://millercenter.org/president/gwbush/speeches/speech-on-new-mother-and-child-hiv-prevention-initiative
gwbush,http://millercenter.org/president/gwbush/speeches/speech-on-new-mother-and-child-hiv-prevention-initiative
gwbush,http://millercenter.org/president/gwbush/speeches/speech-on-new-mother-and-child-hiv-prevention-initiative
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-at-the-un-general-assembly
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-at-the-un-general-assembly
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-at-the-un-general-assembly
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-at-the-un-general-assembly
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4541
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4541
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4541
gwbush,http://millercenter.org/president/gwbush/speeches/speech-4541
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-iraq
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-iraq
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-iraq
gwbush,http://millercenter.org/president/gwbush/speeches/address-to-the-nation-on-iraq
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-start-of-the-iraq-war
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-start-of-the-iraq-war
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-start-of-the-iraq-war
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-the-start-of-the-iraq-war
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-freedom-in-iraq-and-middle-east
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-freedom-in-iraq-and-middle-east
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-freedom-in-iraq-and-middle-east
gwbush,http://millercenter.org/president/gwbush/speeches/remarks-on-freedom-in-iraq-and-middle-east
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-signing-medicare-legislation
gwbush,http://millercenter.org/president/gwbush/speeches/address-on-signing-medicare-legislation
